display_url,caption,comments,likes,labels,likes_normalized,comments_normalized,engagement_score,engagement_binary,topic_0,topic_1,topic_2,topic_3,quartile
https://instagram.fftw1-1.fna.fbcdn.net/vp/801629b92804139f01060786650d8047/5E51F336/t51.2885-15/fr/e15/p1080x1080/73301542_180252566358730_1607197446871059725_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photo by Erika Larsen @erikalarsen888 | Roxane Gay,  photographed in Los Angeles, August 21, 2018. Roxane Gay is a writer, professor, editor, and commentator. In anticipation of the 100th anniversary of the 19th amendment, National Geographic is highlighting what it means to be female. As part of that coverage, we photographed luminaries from around the world.

Check out the link in our bio to learn about Nat Geo’s groundbreaking new book that showcases an incredible group of history-making women. #NatGeoWomenofImpact",360,47452,"['Clothing', 'Dress shirt', 'Sleeve', 'Shirt', 'Formal wear', 'Neck', 'Gentleman', 'Top', 'Silk']",0.019880220956514635,0.006302741692636297,0.011733733398187632,0,0.8836270570755005,0.025204559788107872,0.025075547397136688,0.06609280407428741,0
https://instagram.fftw1-1.fna.fbcdn.net/vp/8c4e44d08c5830f73b12dc6e3d69ae16/5E4FD3F7/t51.2885-15/e35/s1080x1080/71844695_3098544433495593_5618533779669035194_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photo by David Guttenfelder @dguttenfelder // Sponsored by @MazdaUSA #NatGeoMazdaContest // An Indonesian girl rides a pink bicycle matching her vibrant head scarf through Fatahillah Square in Jakarta, where she and her family traveled during the holy month of Ramadan to visit relatives and celebrate Eid al-Fitr. Fatahillah Square is a historic area in what was once the heart of Dutch colonial rule. I enjoyed watching the plaza fill with families who rented brightly colored bicycles and floral hats, laughed while circling the square together, and took pictures to remember the festivities. // Enter the #NatGeoMazdaContest to win the opportunity to be one of National Geographic’s next great storytellers. When you are out with your camera, what remarkable or impactful moments have you captured? We want to see what inspires you. Upload a gallery of 3-5 images to your Instagram account as one post, with the hashtag #NatGeoMazdaContest, tagging @natgeoyourshot. The contest, presented by @MazdaUSA, runs through November 18, 2019. Open to legal residents of the 50 U.S./D.C. only; 18+. For more information go to natgeo.com/mazdacontest.",336,85229,"['Bicycle', 'Pink', 'Bicycle wheel', 'Vehicle', 'Cycling', 'Bicycle drivetrain part', 'Snapshot', 'Mode of transport', 'Recreation', 'Sports equipment']",0.03570705875206073,0.0058825589131272105,0.01781235884870062,0,0.022935187444090843,0.9300857782363892,0.022950470447540283,0.024028584361076355,0
https://instagram.fftw1-1.fna.fbcdn.net/vp/764aa72934d324339bccab9c0fff6838/5E46B38A/t51.2885-15/e35/p1080x1080/75430300_1758476397630411_1881686645357759242_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photo by George Steinmetz @geosteinmetz | A camel caravan crosses the Ténéré Desert of Niger with loads of salt for distribution to markets across West Africa. I took this picture in 1997 from my ""paramotor,"" which provided a new perspective on this ancient trade route. It was a year of good rains, and that made for an unusually large number of camels healthy enough for the two-month-long round trip to the oasis of Bilma. To explore more of our world from above, follow @geosteinmetz.",758,292916,"['Yellow', 'Sky', 'Sand', 'Dune', 'Landscape', 'Heat', 'Aeolian landform']",0.12271842707785638,0.013270772786161981,0.05704983450283974,0,0.031930163502693176,0.03151732683181763,0.9050004482269287,0.03155206888914108,1
https://instagram.fftw1-1.fna.fbcdn.net/vp/5276d17586e53feb2294e8b1a069334d/5E6024ED/t51.2885-15/fr/e15/s1080x1080/73124642_144615920154827_4785967822852887514_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photo by Maggie Steber @maggiesteber | Veteran forensic artist Jeanne Boylan recovers fragmented impressions of shapes and textures etched deep in memory by trauma in victims of crimes. She has helped solve some of the most notorious crimes of past decades. She says her crucial skill is not drawing but simply listening, often for hours. “Witnesses often surprise themselves,” she says, “with what they remember when someone is willing to listen.” She comes in after witnesses have often been questioned for hours by police trying to ascertain details of a crime. She asks subjects about color, temperature, and other small details. From this information, she draws a likeness of the criminal. One of her most famous drawings helped the FBI identify and catch the Unabomber in April 1996, ending a 17-year chase. #natgeowomenofvision #memory #women",254,98153,"['Design', 'Room', 'Photography', 'Material property', 'Technology', 'Architecture', 'Black-and-white', 'Collage', 'Interior design', 'Art']",0.04112162453731731,0.004446934416471165,0.019116810464809623,0,0.5612934231758118,0.02444511465728283,0.270135760307312,0.14412564039230347,0
https://instagram.fftw1-1.fna.fbcdn.net/vp/a33a3d40071a10517e757fcc1982ff56/5E3F6DA6/t51.2885-15/fr/e15/s1080x1080/72764821_164560001301409_2982205866872606018_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photo by Anastasia Taylor-Lind @anastasiatl | Night nurse Tamiesha Graham Baker shows new mom Kelly Howell a feeding technique to try with baby Rooney in Long Island, New York. Before work Baker says good night to her own 10-year-old daughter, Nyiesha, who stays with an aunt until morning.
I spent five months embedded with New York City families, documenting the brutal math of caring for children in America.",646,132572,"['Room', 'Photography', 'Sitting']",0.055541613686400114,0.011309919815119578,0.029002597363631793,0,0.06325287371873856,0.06503746658563614,0.06551992893218994,0.8061897158622742,0
https://instagram.fftw1-1.fna.fbcdn.net/vp/b3b672ef6ad6eb1dd501adf651c9fa43/5E587519/t51.2885-15/fr/e15/s1080x1080/72847784_2126882097621123_7519182217883505852_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photo by Sara Hylton @sarahyltonphoto | A mother and her child at an Afghan refugee settlement, on the outskirts of Islamabad, Pakistan, pause from their daily duties. This image was made in July 2018, in the lead-up to the federal elections. Newly elected Prime Minister Imran Khan promised to grant citizenship to Afghan refugees, but over a year later, citizenship is still off the table. For more stories follow me @sarahyltonphoto #refugees #Afghanistan #Pakistan",644,207504,['Art'],0.08693469968306104,0.01127490458349382,0.04153882262332071,0,0.610105574131012,0.1250126212835312,0.13475152850151062,0.13013030588626862,0
https://instagram.fftw1-1.fna.fbcdn.net/vp/73a2b3faa8883aa26e336bdface688ce/5E4C41EB/t51.2885-15/fr/e15/s1080x1080/74342699_450996895556348_3890485311583142168_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photo by Dina Litovsky @dina_litovsky | Shouq Faisal Madani, from Saudi Arabia, celebrates with her team at the Grand Awards Ceremony at the 2019 International Science and Engineering Fair. While historically female attendance at science fairs has been low, this year’s event was evenly split by gender, and three of the top awards went to young women. 
This story about girls in science is in National Geographic’s November issue. For more images follow me @dina_litovsky.",385,102647,"['People', 'Green', 'Product', 'Social group', 'Crowd', 'Event', 'Youth', 'Cheering', 'Performance', 'Audience']",0.04300440530479975,0.0067404320879582615,0.021246021374694855,0,0.36726120114326477,0.5825513601303101,0.023194611072540283,0.02699282020330429,0
https://instagram.fftw1-1.fna.fbcdn.net/vp/84e7501059444a8f45c0fcda1ff8f1ee/5E479856/t51.2885-15/fr/e15/s1080x1080/75588005_201826714167342_7518377277440458473_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photo by Lynsey Addario @lynseyaddario | Deyraliz Perez Gines, 25, of Bayamon, Puerto Rico, is reprimanded by her drill instructor at Parris Island, S.C.—the only place in the country where women train to become Marines. For the next 11 weeks, they would speak only in the third person, calling themselves “this recruit” instead of “I” to absolve all individuality. Today, women make up eight percent of the United States Marine Corps. To see more of my work, follow @lynseyaddario.",625,177236,"['Soldier', 'Military organization', 'Military', 'Army', 'Military camouflage', 'Infantry', 'Troop', 'Design', 'Marines', 'Military uniform']",0.0742537899656248,0.010942259883049126,0.0362668719160794,0,0.11067499220371246,0.022757239639759064,0.8435479998588562,0.023019753396511078,0
https://instagram.fftw1-1.fna.fbcdn.net/vp/b18a0f3d5dab12ae2efb4a838af70494/5E5200CF/t51.2885-15/e35/s1080x1080/77024054_248215149501860_8408893016110172543_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photos by Pete McBride @pedromcbride | Layers of mountain light—and wildfire smoke. Decades of wildland management that focused on fire suppression have played a hand in the increasing wildfire devastation we’re seeing, including California’s deadliest wildfire on record last year. A changing climate also plays a role, by bringing hotter and drier weather patterns, enabling bigger and harder-to-control infernos and increasing fire danger from the U.S. West to the Southeast. Last summer, I nearly lost my Colorado hometown to a wildfire as I watched (and photographed, second image) in a panic while evacuating. Not all are so lucky. Now I view these hazy sunsets with awe, knowing this natural cycle is important. But I also observe with apprehension, fearful of the outcome. For more on our natural world, follow @pedromcbride. #wildfire #nature #light",590,341314,"['Sky', 'Mountainous landforms', 'Mountain', 'Nature', 'Atmospheric phenomenon', 'Mountain range', 'Wilderness', 'Ridge', 'Blue', 'Cloud']",0.1429949788323324,0.010329493329598375,0.06339568753069198,0,0.6565608978271484,0.025217149406671524,0.29470235109329224,0.023519596084952354,1
https://instagram.fftw1-1.fna.fbcdn.net/vp/a01376bffd16e748928f3471f39e0aa2/5E5F99CD/t51.2885-15/e35/s1080x1080/74426890_2575748949319839_7171097257737281012_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1,"Photos by Richard Barnes @richardbarnes | Can the remarkable architecture built by monstrous leaders redeem their reputations? Nero, emperor of ancient Rome, was known for killing two of his wives, allegedly killing his mother, crucifying Christians, and ordering the stoic philosopher Seneca to commit suicide. Nero was emperor when Rome burned in 64 C.E. His legacy lives on in the ambitious architectures he built, such as the Colosseum and his palace, the Domus Aurea (Golden House). It is thought that Villa Oplontis was owned by Nero and used as his second wife’s residence; its colorful frescoes have been remarkably preserved. Some say he was an avant-garde artist and visionary, his brutality simply a product of his time. Other historians define him by his obsession with popularity, and his desire for a godlike authority. Known as a public relations master, he embraced spectacle and performance on a grand scale. Follow @richardbarnes for more. #richardbarnes #nero #rome #emperors",1232,339860,"['Landmark', 'Historic site', 'Ancient roman architecture', 'Architecture', 'Building', 'Ancient history', 'Ancient rome', 'Sky', 'Ruins', 'Fortification']",0.1423858192337744,0.021569382681466437,0.06989595730238964,1,0.3368917405605316,0.023173842579126358,0.6132928729057312,0.026641584932804108,2
