,post_url,num_likes,num_comments,caption
0,https://scontent-sea1-1.cdninstagram.com/vp/8ecca003eecc1c04bb2d0d1664fb2dbf/5E5855EA/t51.2885-15/fr/e15/p1080x1080/73470573_2379932355465500_5911456957691088762_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=108,455787,1234,"Photo by Jimmy Chin @jimmychin | Half Dome after a storm. For more images of wilderness landscapes around the world, follow @jimmychin"
1,https://scontent-sea1-1.cdninstagram.com/vp/5167596af2873c038998780848ebdf73/5E89487C/t51.2885-15/e35/s1080x1080/72660983_438148996837205_4568739265499612557_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=105,246999,941,"Photos by Ian Teh @iantehphotography | I’m on the trail to discover how cardamom is harvested and used in Vietnamese culture. On this day I’m off to a region in Sapa that’s supposed to have some spectacular scenery—if only I could see it. Swipe to see more. 1. Traveling Vietnamese style, Lang has my suitcase between her legs, and I have my camera bag on my front, with camera in hand, plus a backpack. 2. The near-constant fog gave way to torrential rain today, hence the emergency poncho outfits. 3. The rain didn't relent so plan B was to have a Vietnamese coffee. Sure enough, the weather improved after I ordered. 4. The weather cleared a little, giving me a taste of what surrounded me. On assignment for @natgeo #onassignment #natgeo #vietnam #sapa #travel"
2,https://scontent-sea1-1.cdninstagram.com/vp/2134b8427eca72793d85734c33ad6d24/5E43C4D8/t51.2885-15/fr/e15/s1080x1080/70484592_2488119921407632_5252371194531992244_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=104,610340,3481,"Photo by Thomas Peschak @thomaspeschak | The mystery of the Galápagos shrinking iguana: In lean times, when food is scarce, marine iguanas are able to shrink their skeleton and reduce their size by up to 20%. Smaller animals require less energy, and the odds of surviving tough times increases. When food (mainly seaweed) becomes abundant again, their skeletons can regrow. Follow @thomaspeschak for more close encounters with marine iguanas."
3,https://scontent-sea1-1.cdninstagram.com/vp/78df8a5939b04b6697e6fa86114491e1/5E5ED408/t51.2885-15/fr/e15/s1080x1080/70594994_2448995185319541_2117090738853338928_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=109,160973,492,"Photo by Katie Orlinsky @katieorlinsky | Olga and Anna Lang at their family’s cabin on the Kolyma River, outside Cherskiy, Siberia. Like a lot of remote communities in the Arctic, the Lang’s cabin is off the grid, far from any grocery stores and with minimal access to power and electricity. They live off the land as much as they can, depending on hunting and fishing for dietary staples. However, as permafrost thaws, their ice cellar (a homemade freezer dug into the permafrost) keeps flooding, and the Langs and others like them struggle to keep their fish and meat fresh. Learn more about permafrost in my recently published @natgeo article “The Threat Below” (link in my bio @katieorlinsky)."
4,https://scontent-sea1-1.cdninstagram.com/vp/0353ce11ba92fa00eebe6162b29b8f3b/5E55E99C/t51.2885-15/fr/e15/s1080x1080/73393206_1737857599679766_2290445194462404188_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=106,185601,730,"Photo by Tasneem Alsultan @TasneemAlsultan | ""I can't define what type of marriage I had for 18 years, but I know I suffered. I finally understood that in order to receive my divorce, I had to give away my children. On my tearful return from dropping off my children to their father in a new city, I found that my home had been set on fire. I had lost everything. When the pain is too intense, you become numb..."" These are the words of woman I'll call ""N,"" who stands in the shell of her home. She plans to rebuild it. As part of my ongoing project Saudi Tales of Love, I've been documenting the lives of over 40 Saudi women across the country. I realize as a Saudi woman myself that there are obstacles that are unique to us as Saudi women, but I also have come to see how the more difficulties there are...the more strong and resilient we become. #women #saudiarabia

Nat Geo is celebrating women who fearlessly push boundaries and inspire the next generation of changemakers. For a week, all of our posts and stories on @natgeo were photographed by women, about women. Use #NatGeoWomenofImpact to share how a woman in your life has empowered you."
5,https://scontent-sea1-1.cdninstagram.com/vp/148e905bc2757e83d0edefa153be332a/5E5DE27D/t51.2885-15/fr/e15/s1080x1080/70628931_560748411335058_1019327032507952234_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=106,240420,1034,"Photo by Muhammed Muheisen @mmuheisen | A father and daughter moment: This is Mohammed, a 32-year-old refugee from Afghanistan, playing with three-month-old Dunia outside their shelter in a camp in Athens, Greece. For more photos and videos of the refugee crisis, follow me @mmuheisen @mmuheisenpublic. For more on how to get involved, follow @everydayrefugees.  #muhammedmuheisen #everydayrefugees"
6,https://scontent-sea1-1.cdninstagram.com/vp/fd4fb78dcb1d44684d60e432403357e0/5E5AB209/t51.2885-15/fr/e15/s1080x1080/69568726_704359700012738_1908601801647046734_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=102,329844,621,"Photo by Pete McBride @pedromcbride | Seeing Stripes: Botswana’s national animal, the zebra, migrates across the country twice a year. During the migrations, zebras and other wildlife started competing with cattle for limited water sources  after the Boteti River dried up. In 2009 high rainfall restored the river’s flow for the first time in 20 years, bringing much-needed relief to the area’s migratory animals. Botswana is one of 17 countries under extremely high water stress, like many regions facing imminent global water shortage. For more on conservation of wildlife and water, follow @pedromcbride. #zebras #Botswana #okavango #water #migration"
7,https://scontent-sea1-1.cdninstagram.com/vp/64c169741dd2818ac3f6fd49a355689e/5E555130/t51.2885-15/fr/e15/s1080x1080/70349855_531297774337339_3992793999803569802_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=107,259554,1059,"Photo by Stephanie Sinclair @stephsinclairpix | Today is the International Day of the Girl Child, which aims to highlight and address the needs and challenges girls face, while promoting girls' empowerment and the fulfillment of their human rights. For this year’s theme, GirlForce: Unscripted and Unstoppable, I am sharing an image of girls participating in a soccer training provided by the nonprofit organization @yuwaIndia, which works with girls from socially and economically disadvantaged families in rural Jharkhand, where 5 out of 10 girls drop out of school and become child brides. Sports can be used as an empowerment tool, challenging gender norms while building self-esteem, courage, and self-efficacy. When community members see girls achieve in sports, they often recognize their potential to achieve in other domains as well. Over the next week, I will be sharing more images from this Nat Geo assignment on my feed @stephsinclairpix and @tooyoungtowed. #DayoftheGirl #letgirlslearn #endchildmarriage"
8,https://scontent-sea1-1.cdninstagram.com/vp/8e1bf58b61036c52d008bcf1418c0fef/5E540EC4/t51.2885-15/fr/e15/s1080x1080/72359783_450897025528823_958149796342377834_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=111,267327,538,"Photo by Drew Rush @drewtrush | Sugarloaf Mountain stands near the top of the Snowy Range, in southeastern Wyoming. Fall is sweeping across the Rockies, and soon lakes that seemingly just thawed will freeze again with the onset of winter. To see more from across the West, follow along with photographer @drewtrush."
9,https://scontent-sea1-1.cdninstagram.com/vp/57bb33df30b192a7b9ac9edfb44d7507/5E4A4D12/t51.2885-15/fr/e15/p1080x1080/72625018_476970262890615_8740506596305818953_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=103,202772,554,"Photo by Michael Christopher Brown @michaelchristopherbrown | The Old City of Jerusalem is not only a holy place and home to several of the world’s religions and their followers, but also a good place to meet visitors from around the world. I love wandering the different quarters and pathways, chatting with various folks and photographing the terrain and diversity of life, all contained within a .9-square- kilometer walled area inside the modern city of Jerusalem. #jerusalem #old city"
